Year,Month,Index
2013,6,-1.77
2013,7,-1.61
2013,8,-1.27
2013,9,-1
2013,10,-0.79
2013,11,-0.67
2013,12,-0.39
2014,1,-0.37
2014,2,-0.34
2014,3,-0.41
2014,4,0.07
2014,5,0.67
2014,6,1.07
2014,7,1.07
2014,8,0.82
2014,9,0.66
2014,10,0.61
2014,11,0.5
2014,12,0.27
2015,1,-0.14
2015,2,-0.23
2015,3,0.12
2015,4,0.77
2015,5,1.46
2015,6,1.98
2015,7,2.03
2015,8,2.05
2015,9,1.89
2015,10,2.1
2015,11,2.1
2015,12,1.98
2016,1,1.68
2016,2,1.41
2016,3,0.99
2016,4,0.7
2016,5,0.43
2016,6,0.28
2016,7,0.11
2016,8,0.03
2016,9,0.04
2016,10,0.01
2016,11,-0.05
2016,12,0.13
2017,1,0.56
2017,2,0.97
2017,3,1.07
2017,4,0.71
2017,5,0.11
2017,6,-0.34
2017,7,-0.52
2017,8,-0.7
2017,9,-0.86
2017,10,-1.17
2017,11,-1.35
2017,12,-1.5
2018,1,-1.4
2018,2,-1.39
2018,3,-1.34
2018,4,-1.28
2018,5,-1.04
2018,6,-0.8
2018,7,-0.6
2018,8,-0.39
2018,9,-0.24
2018,10,0.09
2018,11,0.49
2018,12,0.85
2019,1,0.83
2019,2,0.49
2019,3,0.25
2019,4,0.13
2019,5,0
2019,6,-0.38
2019,7,-0.75
2019,8,-0.89
2019,9,-0.96
2019,10,-0.82
2019,11,-0.64
2019,12,-0.54
2020,1,-0.48
2020,2,-0.53
2020,3,-0.29
2020,4,-0.21
2020,5,-0.37
2020,6,-0.91
2020,7,-1.31
2020,8,-1.48
2020,9,-1.25
2020,10,-1.12
2020,11,-0.98
2020,12,-1.06
2021,1,-1.07
2021,2,-1.06
2021,3,-1.04
2021,4,-1.03
2021,5,-0.89
2021,6,-0.65
2021,7,-0.49
2021,8,-0.58
2021,9,-0.77
2021,10,-1
2021,11,-1.34
2021,12,-1.5
2022,1,-1.72
2022,2,-1.38
2022,3,-1.4
2022,4,-1.38
2022,5,-1.68
2022,6,-1.69
2022,7,-1.29
2022,8,-1.09
2022,9,-1.27
2022,10,-1.54
2022,11,-1.39
2022,12,-0.99
2023,1,-0.48
2023,2,0.13
2023,3,1.15
2023,4,1.75
2023,5,2.08
2023,6,2.17
2023,7,2.55
2023,8,2.58
2023,9,2.42
2023,10,2.01
2023,11,1.71
2023,12,1.3
2024,1,0.91
2024,2,0.55
2024,3,0.13
2024,4,-0.58
2024,5,-1.11
2024,6,-1.38
2024,7,-1.15
2024,8,-1.1
2024,9,-0.98
2024,10,-0.83
2024,11,-0.56
2024,12,-0.52
2025,1,-0.41
2025,2,-0.07
2025,3,0.2
2025,4,0.13
2025,5,-0.12
2025,6,-0.13
2025,7,-0.06
2025,8,-0.26
2025,9,-0.47
2025,10,-0.67
2025,11,-0.77
2025,12,-0.84
